Timestamp,Emotion,Probabilities
2025-09-04 13:49:14.328167,Sad,"[0.1736730933189392, 0.017593394964933395, 0.1487385481595993, 0.11540476977825165, 0.33751577138900757, 0.011814280413091183, 0.19526012241840363]"
2025-09-04 13:49:14.370515,Sad,"[0.17268170416355133, 0.019965896382927895, 0.15372823178768158, 0.20688293874263763, 0.22269022464752197, 0.0559515506029129, 0.16809944808483124]"
2025-09-04 13:49:14.411092,Sad,"[0.2011437565088272, 0.025292007252573967, 0.17539352178573608, 0.18616048991680145, 0.3171083927154541, 0.010162238962948322, 0.08473950624465942]"
2025-09-04 13:49:14.452800,Sad,"[0.17401690781116486, 0.017869694158434868, 0.156622052192688, 0.11376643925905228, 0.2602705657482147, 0.04483380168676376, 0.232620507478714]"
2025-09-04 13:49:14.492022,Happy,"[0.17349396646022797, 0.0209481380879879, 0.12889954447746277, 0.2817740738391876, 0.23544788360595703, 0.020719923079013824, 0.1387164145708084]"
2025-09-04 13:49:14.661119,Sad,"[0.20494532585144043, 0.022008340805768967, 0.14802217483520508, 0.14262987673282623, 0.29367923736572266, 0.020871594548225403, 0.16784341633319855]"
2025-09-04 13:49:14.700555,Sad,"[0.17295604944229126, 0.01997620426118374, 0.15215371549129486, 0.20739135146141052, 0.2185109704732895, 0.05942975729703903, 0.16958194971084595]"
2025-09-04 13:49:14.741156,Sad,"[0.18611931800842285, 0.019885146990418434, 0.14939142763614655, 0.1327272206544876, 0.3391771614551544, 0.010311338119208813, 0.16238845884799957]"
2025-09-04 13:49:14.808726,Sad,"[0.1985962688922882, 0.021094877272844315, 0.1593247652053833, 0.10333479940891266, 0.32443875074386597, 0.016505755484104156, 0.1767047941684723]"
2025-09-04 13:49:14.977077,Sad,"[0.1959816813468933, 0.020252440124750137, 0.14056901633739471, 0.13540814816951752, 0.27732139825820923, 0.027350906282663345, 0.20311641693115234]"
2025-09-04 13:49:15.021033,Neutral,"[0.1449144333600998, 0.014786208979785442, 0.1899712085723877, 0.07141552120447159, 0.2416445016860962, 0.08010479062795639, 0.2571633756160736]"
2025-09-04 13:49:15.061885,Sad,"[0.17950856685638428, 0.01851743645966053, 0.15150806307792664, 0.11706242710351944, 0.3473524749279022, 0.010152355767786503, 0.17589861154556274]"
